,Callsign,Start Time,Aircraft Type,Air Routes,Initial Latitude,Initial Longitude,Initial Altitude (FL),Requested FL
0,SQ10,300,B738,"VMR, LENDA, LIPRO, LEBIN, ONAPO, LUSMO",022318.00N,1035218.00E,400.0,350.0
1,SQ11,550,B738,"VMR, LENDA, LIPRO, LEBIN, ONAPO, LUSMO",022318.00N,1035218.00E,400.0,350.0
2,SQ12,200,B734,"VMR, RAXIM, OTLON, VISAT, DUBSA, DAMOG, DOLOX",022318.00N,1035218.00E,160.0,350.0
3,SQ13,450,B734,"VMR, RAXIM, OTLON, VISAT, DUBSA, DAMOG, DOLOX",022318.00N,1035218.00E,160.0,350.0
4,SQ14,700,B734,"VMR, RAXIM, OTLON, VISAT, DUBSA, DAMOG, DOLOX",022318.00N,1035218.00E,160.0,350.0
5,SQ15,0,B738,"SABIP, BOBOB, OMBAP, VERIN, BUNTO, LIPRO, KILOT, OTLON, KETOD, OBDAB, VPK",020940.00N,1075044.00E,380.0,350.0
6,SQ16,150,B738,"SABIP, BOBOB, OMBAP, VERIN, BUNTO, LIPRO, KILOT, OTLON, KETOD, OBDAB, VPK",020940.00N,1075044.00E,380.0,350.0
7,SQ17,300,B738,"SABIP, BOBOB, OMBAP, VERIN, BUNTO, LIPRO, KILOT, OTLON, KETOD, OBDAB, VPK",020940.00N,1075044.00E,380.0,350.0
8,SQ18,450,B738,"SABIP, BOBOB, OMBAP, VERIN, BUNTO, LIPRO, KILOT, OTLON, KETOD, OBDAB, VPK",020940.00N,1075044.00E,380.0,350.0
9,SQ19,0,B744,"LUSMO, OPULA, ELGOR, MABAL, VISAT, URIGO, IDSEL, PADLI, SAROX",033341.00N,1065534.00E,340.0,350.0
10,SQ110,250,B744,"LUSMO, OPULA, ELGOR, MABAL, VISAT, URIGO, IDSEL, PADLI, SAROX",033341.00N,1065534.00E,340.0,350.0
11,SQ111,500,B744,"LUSMO, OPULA, ELGOR, MABAL, VISAT, URIGO, IDSEL, PADLI, SAROX",033341.00N,1065534.00E,340.0,350.0
12,SQ112,750,B744,"LUSMO, OPULA, ELGOR, MABAL, VISAT, URIGO, IDSEL, PADLI, SAROX",033341.00N,1065534.00E,340.0,350.0
13,SQ113,0,B738,"MABLI, MUMSO, MABAL, KILOT, KIBOL, PEKLA, VMR",041717.00N,1061247.00E,400.0,290.0
14,SQ114,150,B738,"MABLI, MUMSO, MABAL, KILOT, KIBOL, PEKLA, VMR",041717.00N,1061247.00E,400.0,290.0
15,SQ115,300,B738,"MABLI, MUMSO, MABAL, KILOT, KIBOL, PEKLA, VMR",041717.00N,1061247.00E,400.0,290.0
16,SQ116,450,B738,"MABLI, MUMSO, MABAL, KILOT, KIBOL, PEKLA, VMR",041717.00N,1061247.00E,400.0,290.0
