Unnamed: 0,Callsign,Start Time,Aircraft Type,Air Routes,Initial Altitude (FL),Requested FL,Initial Latitude (Decimal),Initial Longitude (Decimal)
0,SQ10,300,B738,"VMR, LENDA, LIPRO, LEBIN, ONAPO, LUSMO",400.0,350.0,2.388333333333333,103.87166666666666
1,SQ11,550,B738,"VMR, LENDA, LIPRO, LEBIN, ONAPO, LUSMO",400.0,350.0,2.388333333333333,103.87166666666666
2,SQ12,200,B734,"VMR, RAXIM, OTLON, VISAT, DUBSA, DAMOG, DOLOX",160.0,350.0,2.388333333333333,103.87166666666666
3,SQ13,450,B734,"VMR, RAXIM, OTLON, VISAT, DUBSA, DAMOG, DOLOX",160.0,350.0,2.388333333333333,103.87166666666666
4,SQ14,700,B734,"VMR, RAXIM, OTLON, VISAT, DUBSA, DAMOG, DOLOX",160.0,350.0,2.388333333333333,103.87166666666666
5,SQ15,0,B738,"SABIP, BOBOB, OMBAP, VERIN, BUNTO, LIPRO, KILOT, OTLON, KETOD, OBDAB, VPK",380.0,350.0,2.161111111111111,107.84555555555555
6,SQ16,150,B738,"SABIP, BOBOB, OMBAP, VERIN, BUNTO, LIPRO, KILOT, OTLON, KETOD, OBDAB, VPK",380.0,350.0,2.161111111111111,107.84555555555555
7,SQ17,300,B738,"SABIP, BOBOB, OMBAP, VERIN, BUNTO, LIPRO, KILOT, OTLON, KETOD, OBDAB, VPK",380.0,350.0,2.161111111111111,107.84555555555555
8,SQ18,450,B738,"SABIP, BOBOB, OMBAP, VERIN, BUNTO, LIPRO, KILOT, OTLON, KETOD, OBDAB, VPK",380.0,350.0,2.161111111111111,107.84555555555555
9,SQ19,0,B744,"LUSMO, OPULA, ELGOR, MABAL, VISAT, URIGO, IDSEL, PADLI, SAROX",340.0,350.0,3.5613888888888887,106.92611111111111
10,SQ110,250,B744,"LUSMO, OPULA, ELGOR, MABAL, VISAT, URIGO, IDSEL, PADLI, SAROX",340.0,350.0,3.5613888888888887,106.92611111111111
11,SQ111,500,B744,"LUSMO, OPULA, ELGOR, MABAL, VISAT, URIGO, IDSEL, PADLI, SAROX",340.0,350.0,3.5613888888888887,106.92611111111111
12,SQ112,750,B744,"LUSMO, OPULA, ELGOR, MABAL, VISAT, URIGO, IDSEL, PADLI, SAROX",340.0,350.0,3.5613888888888887,106.92611111111111
13,SQ113,0,B738,"MABLI, MUMSO, MABAL, KILOT, KIBOL, PEKLA, VMR",400.0,290.0,4.288055555555555,106.21305555555556
14,SQ114,150,B738,"MABLI, MUMSO, MABAL, KILOT, KIBOL, PEKLA, VMR",400.0,290.0,4.288055555555555,106.21305555555556
15,SQ115,300,B738,"MABLI, MUMSO, MABAL, KILOT, KIBOL, PEKLA, VMR",400.0,290.0,4.288055555555555,106.21305555555556
16,SQ116,450,B738,"MABLI, MUMSO, MABAL, KILOT, KIBOL, PEKLA, VMR",400.0,290.0,4.288055555555555,106.21305555555556
