timestamp,latitude,longitude,altitude,waypoint_segment,segment_distance_nm,distance_in_segment_nm,cumulative_distance_nm,total_route_distance_nm
500,3.561389,106.926111,34358.83,LUSMO-OPULA,34.27,0.0,0.0,263.87
510,3.560553,106.909793,34717.67,LUSMO-OPULA,34.27,0.98,0.98,263.87
520,3.559716,106.893475,35000.0,LUSMO-OPULA,34.27,1.96,1.96,263.87
530,3.558879,106.877157,35000.0,LUSMO-OPULA,34.27,2.94,2.94,263.87
540,3.558042,106.860839,35000.0,LUSMO-OPULA,34.27,3.92,3.92,263.87
550,3.557204,106.844522,35000.0,LUSMO-OPULA,34.27,4.9,4.9,263.87
560,3.556366,106.828204,35000.0,LUSMO-OPULA,34.27,5.87,5.87,263.87
570,3.555528,106.811886,35000.0,LUSMO-OPULA,34.27,6.85,6.85,263.87
580,3.55469,106.795568,35000.0,LUSMO-OPULA,34.27,7.83,7.83,263.87
590,3.553851,106.77925,35000.0,LUSMO-OPULA,34.27,8.81,8.81,263.87
600,3.553012,106.762933,35000.0,LUSMO-OPULA,34.27,9.79,9.79,263.87
610,3.552173,106.746615,35000.0,LUSMO-OPULA,34.27,10.77,10.77,263.87
620,3.551333,106.730297,35000.0,LUSMO-OPULA,34.27,11.75,11.75,263.87
630,3.550493,106.71398,35000.0,LUSMO-OPULA,34.27,12.73,12.73,263.87
640,3.549653,106.697662,35000.0,LUSMO-OPULA,34.27,13.71,13.71,263.87
650,3.548813,106.681345,35000.0,LUSMO-OPULA,34.27,14.69,14.69,263.87
660,3.547972,106.665027,35000.0,LUSMO-OPULA,34.27,15.67,15.67,263.87
670,3.547131,106.64871,35000.0,LUSMO-OPULA,34.27,16.65,16.65,263.87
680,3.54629,106.632392,35000.0,LUSMO-OPULA,34.27,17.62,17.62,263.87
690,3.545448,106.616075,35000.0,LUSMO-OPULA,34.27,18.6,18.6,263.87
700,3.544607,106.599757,35000.0,LUSMO-OPULA,34.27,19.58,19.58,263.87
710,3.543764,106.58344,35000.0,LUSMO-OPULA,34.27,20.56,20.56,263.87
720,3.542922,106.567123,35000.0,LUSMO-OPULA,34.27,21.54,21.54,263.87
730,3.542079,106.550805,35000.0,LUSMO-OPULA,34.27,22.52,22.52,263.87
740,3.541236,106.534488,35000.0,LUSMO-OPULA,34.27,23.5,23.5,263.87
750,3.540393,106.518171,35000.0,LUSMO-OPULA,34.27,24.48,24.48,263.87
