timestamp,latitude,longitude,altitude,waypoint_segment,segment_distance_nm,distance_in_segment_nm,cumulative_distance_nm,total_route_distance_nm
300,2.388333,103.871667,37637.0,VMR-LENDA,50.08,0.0,0.0,196.22
310,2.394253,103.886925,37274.0,VMR-LENDA,50.08,0.98,0.98,196.22
320,2.400172,103.902183,36911.0,VMR-LENDA,50.08,1.96,1.96,196.22
330,2.406091,103.917441,36548.0,VMR-LENDA,50.08,2.95,2.95,196.22
340,2.41201,103.9327,36185.0,VMR-LENDA,50.08,3.93,3.93,196.22
350,2.417929,103.947958,35822.0,VMR-LENDA,50.08,4.91,4.91,196.22
360,2.423847,103.963217,35459.0,VMR-LENDA,50.08,5.89,5.89,196.22
370,2.429766,103.978476,35096.0,VMR-LENDA,50.08,6.87,6.87,196.22
380,2.435684,103.993734,35000.0,VMR-LENDA,50.08,7.86,7.86,196.22
390,2.441602,104.008994,35000.0,VMR-LENDA,50.08,8.84,8.84,196.22
400,2.44752,104.024253,35000.0,VMR-LENDA,50.08,9.82,9.82,196.22
410,2.453438,104.039512,35000.0,VMR-LENDA,50.08,10.8,10.8,196.22
420,2.459355,104.054772,35000.0,VMR-LENDA,50.08,11.78,11.78,196.22
430,2.465273,104.070031,35000.0,VMR-LENDA,50.08,12.76,12.76,196.22
440,2.47119,104.085291,35000.0,VMR-LENDA,50.08,13.75,13.75,196.22
450,2.477107,104.100551,35000.0,VMR-LENDA,50.08,14.73,14.73,196.22
460,2.483024,104.115811,35000.0,VMR-LENDA,50.08,15.71,15.71,196.22
470,2.488941,104.131071,35000.0,VMR-LENDA,50.08,16.69,16.69,196.22
480,2.494857,104.146331,35000.0,VMR-LENDA,50.08,17.67,17.67,196.22
490,2.500773,104.161592,35000.0,VMR-LENDA,50.08,18.66,18.66,196.22
500,2.50669,104.176852,35000.0,VMR-LENDA,50.08,19.64,19.64,196.22
510,2.512605,104.192113,35000.0,VMR-LENDA,50.08,20.62,20.62,196.22
520,2.518521,104.207374,35000.0,VMR-LENDA,50.08,21.6,21.6,196.22
530,2.524437,104.222635,35000.0,VMR-LENDA,50.08,22.58,22.58,196.22
540,2.530352,104.237896,35000.0,VMR-LENDA,50.08,23.57,23.57,196.22
550,2.536268,104.253157,35000.0,VMR-LENDA,50.08,24.55,24.55,196.22
560,2.542183,104.268419,35000.0,VMR-LENDA,50.08,25.53,25.53,196.22
570,2.548098,104.28368,35000.0,VMR-LENDA,50.08,26.51,26.51,196.22
580,2.554012,104.298942,35000.0,VMR-LENDA,50.08,27.49,27.49,196.22
590,2.559927,104.314204,35000.0,VMR-LENDA,50.08,28.47,28.47,196.22
600,2.565841,104.329466,35000.0,VMR-LENDA,50.08,29.46,29.46,196.22
610,2.571755,104.344728,35000.0,VMR-LENDA,50.08,30.44,30.44,196.22
620,2.577669,104.35999,35000.0,VMR-LENDA,50.08,31.42,31.42,196.22
630,2.583583,104.375252,35000.0,VMR-LENDA,50.08,32.4,32.4,196.22
640,2.589497,104.390515,35000.0,VMR-LENDA,50.08,33.38,33.38,196.22
650,2.59541,104.405778,35000.0,VMR-LENDA,50.08,34.37,34.37,196.22
660,2.601323,104.42104,35000.0,VMR-LENDA,50.08,35.35,35.35,196.22
670,2.607237,104.436303,35000.0,VMR-LENDA,50.08,36.33,36.33,196.22
680,2.613149,104.451566,35000.0,VMR-LENDA,50.08,37.31,37.31,196.22
690,2.619062,104.46683,35000.0,VMR-LENDA,50.08,38.29,38.29,196.22
700,2.624975,104.482093,35000.0,VMR-LENDA,50.08,39.28,39.28,196.22
710,2.630887,104.497357,35000.0,VMR-LENDA,50.08,40.26,40.26,196.22
720,2.636799,104.51262,35000.0,VMR-LENDA,50.08,41.24,41.24,196.22
730,2.642711,104.527884,35000.0,VMR-LENDA,50.08,42.22,42.22,196.22
740,2.648623,104.543148,35000.0,VMR-LENDA,50.08,43.2,43.2,196.22
750,2.654534,104.558412,35000.0,VMR-LENDA,50.08,44.18,44.18,196.22
760,2.660446,104.573676,35000.0,VMR-LENDA,50.08,45.17,45.17,196.22
770,2.666357,104.588941,35000.0,VMR-LENDA,50.08,46.15,46.15,196.22
780,2.672268,104.604205,35000.0,VMR-LENDA,50.08,47.13,47.13,196.22
790,2.678179,104.61947,35000.0,VMR-LENDA,50.08,48.11,48.11,196.22
800,2.68409,104.634735,35000.0,VMR-LENDA,50.08,49.09,49.09,196.22
