timestamp,latitude,longitude,altitude,waypoint_segment,segment_distance_nm,distance_in_segment_nm,cumulative_distance_nm,total_route_distance_nm
150,2.388333,103.871667,20333.33,VMR-RAXIM,47.14,0.0,0.0,171.26
160,2.402224,103.880314,20666.67,VMR-RAXIM,47.14,0.98,0.98,171.26
170,2.416114,103.888961,21000.0,VMR-RAXIM,47.14,1.96,1.96,171.26
180,2.430004,103.897609,21333.33,VMR-RAXIM,47.14,2.95,2.95,171.26
190,2.443894,103.906256,21666.67,VMR-RAXIM,47.14,3.93,3.93,171.26
200,2.457784,103.914904,22000.0,VMR-RAXIM,47.14,4.91,4.91,171.26
210,2.471674,103.923552,22333.33,VMR-RAXIM,47.14,5.89,5.89,171.26
220,2.485564,103.9322,22666.67,VMR-RAXIM,47.14,6.87,6.87,171.26
230,2.499454,103.940849,23000.0,VMR-RAXIM,47.14,7.86,7.86,171.26
240,2.513344,103.949497,23333.33,VMR-RAXIM,47.14,8.84,8.84,171.26
250,2.527234,103.958146,23666.67,VMR-RAXIM,47.14,9.82,9.82,171.26
260,2.541123,103.966795,24000.0,VMR-RAXIM,47.14,10.8,10.8,171.26
270,2.555013,103.975444,24333.33,VMR-RAXIM,47.14,11.79,11.79,171.26
280,2.568903,103.984093,24666.67,VMR-RAXIM,47.14,12.77,12.77,171.26
290,2.582792,103.992743,25000.0,VMR-RAXIM,47.14,13.75,13.75,171.26
300,2.596682,104.001392,25333.33,VMR-RAXIM,47.14,14.73,14.73,171.26
310,2.610571,104.010042,25666.67,VMR-RAXIM,47.14,15.71,15.71,171.26
320,2.624461,104.018692,26000.0,VMR-RAXIM,47.14,16.7,16.7,171.26
330,2.63835,104.027343,26333.33,VMR-RAXIM,47.14,17.68,17.68,171.26
340,2.652239,104.035993,26666.67,VMR-RAXIM,47.14,18.66,18.66,171.26
350,2.666128,104.044644,27000.0,VMR-RAXIM,47.14,19.64,19.64,171.26
360,2.680017,104.053294,27333.33,VMR-RAXIM,47.14,20.62,20.62,171.26
370,2.693907,104.061945,27666.67,VMR-RAXIM,47.14,21.61,21.61,171.26
380,2.707796,104.070597,28000.0,VMR-RAXIM,47.14,22.59,22.59,171.26
390,2.721685,104.079248,28333.33,VMR-RAXIM,47.14,23.57,23.57,171.26
400,2.735573,104.0879,28666.67,VMR-RAXIM,47.14,24.55,24.55,171.26
410,2.749462,104.096552,29000.0,VMR-RAXIM,47.14,25.54,25.54,171.26
420,2.763351,104.105204,29333.33,VMR-RAXIM,47.14,26.52,26.52,171.26
430,2.77724,104.113856,29666.67,VMR-RAXIM,47.14,27.5,27.5,171.26
440,2.791128,104.122508,30000.0,VMR-RAXIM,47.14,28.48,28.48,171.26
