timestamp,latitude,longitude,altitude,waypoint_segment,segment_distance_nm,distance_in_segment_nm,cumulative_distance_nm,total_route_distance_nm
600,3.408889,103.928889,35000.0,IDSEL-URIGO,11.05,0.0,0.0,179.86
610,3.409724,103.945631,35000.0,IDSEL-URIGO,11.05,1.0,1.0,179.86
620,3.410558,103.962373,35000.0,IDSEL-URIGO,11.05,2.01,2.01,179.86
630,3.411392,103.979116,35000.0,IDSEL-URIGO,11.05,3.01,3.01,179.86
640,3.412226,103.995858,35000.0,IDSEL-URIGO,11.05,4.02,4.02,179.86
650,3.41306,104.012601,35000.0,IDSEL-URIGO,11.05,5.02,5.02,179.86
660,3.413893,104.029343,35000.0,IDSEL-URIGO,11.05,6.03,6.03,179.86
670,3.414726,104.046085,35000.0,IDSEL-URIGO,11.05,7.03,7.03,179.86
680,3.415559,104.062828,35000.0,IDSEL-URIGO,11.05,8.04,8.04,179.86
690,3.416392,104.07957,35000.0,IDSEL-URIGO,11.05,9.04,9.04,179.86
700,3.417224,104.096313,35000.0,IDSEL-URIGO,11.05,10.05,10.05,179.86
710,3.418056,104.113056,35000.0,IDSEL-URIGO,11.05,11.05,11.05,179.86
720,3.418056,104.113056,35000.0,URIGO-VISAT,24.79,0.0,11.05,179.86
730,3.418892,104.129577,35000.0,URIGO-VISAT,24.79,0.99,12.04,179.86
740,3.419729,104.146099,35000.0,URIGO-VISAT,24.79,1.98,13.03,179.86
750,3.420565,104.162621,35000.0,URIGO-VISAT,24.79,2.97,14.03,179.86
760,3.421401,104.179143,35000.0,URIGO-VISAT,24.79,3.97,15.02,179.86
770,3.422236,104.195665,35000.0,URIGO-VISAT,24.79,4.96,16.01,179.86
780,3.423072,104.212187,35000.0,URIGO-VISAT,24.79,5.95,17.0,179.86
790,3.423907,104.228709,35000.0,URIGO-VISAT,24.79,6.94,17.99,179.86
800,3.424742,104.245231,35000.0,URIGO-VISAT,24.79,7.93,18.98,179.86
810,3.425576,104.261753,35000.0,URIGO-VISAT,24.79,8.92,19.97,179.86
820,3.42641,104.278276,35000.0,URIGO-VISAT,24.79,9.91,20.97,179.86
830,3.427244,104.294798,35000.0,URIGO-VISAT,24.79,10.91,21.96,179.86
840,3.428078,104.31132,35000.0,URIGO-VISAT,24.79,11.9,22.95,179.86
850,3.428911,104.327842,35000.0,URIGO-VISAT,24.79,12.89,23.94,179.86
860,3.429744,104.344364,35000.0,URIGO-VISAT,24.79,13.88,24.93,179.86
870,3.430577,104.360887,35000.0,URIGO-VISAT,24.79,14.87,25.92,179.86
880,3.431409,104.377409,35000.0,URIGO-VISAT,24.79,15.86,26.92,179.86
890,3.432242,104.393931,35000.0,URIGO-VISAT,24.79,16.86,27.91,179.86
900,3.433073,104.410454,35000.0,URIGO-VISAT,24.79,17.85,28.9,179.86
910,3.433905,104.426976,35000.0,URIGO-VISAT,24.79,18.84,29.89,179.86
920,3.434736,104.443499,35000.0,URIGO-VISAT,24.79,19.83,30.88,179.86
930,3.435568,104.460021,35000.0,URIGO-VISAT,24.79,20.82,31.87,179.86
940,3.436398,104.476543,35000.0,URIGO-VISAT,24.79,21.81,32.86,179.86
950,3.437229,104.493066,35000.0,URIGO-VISAT,24.79,22.8,33.86,179.86
960,3.438059,104.509589,35000.0,URIGO-VISAT,24.79,23.8,34.85,179.86
970,3.438889,104.526111,35000.0,URIGO-VISAT,24.79,24.79,35.84,179.86
980,3.438889,104.526111,35000.0,VISAT-MABAL,41.04,0.0,35.84,179.86
990,3.439728,104.542394,35000.0,VISAT-MABAL,41.04,0.98,36.82,179.86
1000,3.440567,104.558676,35000.0,VISAT-MABAL,41.04,1.95,37.79,179.86
1010,3.441405,104.574959,35000.0,VISAT-MABAL,41.04,2.93,38.77,179.86
1020,3.442243,104.591241,35000.0,VISAT-MABAL,41.04,3.91,39.75,179.86
1030,3.443081,104.607524,35000.0,VISAT-MABAL,41.04,4.89,40.72,179.86
1040,3.443919,104.623806,35000.0,VISAT-MABAL,41.04,5.86,41.7,179.86
1050,3.444756,104.640089,35000.0,VISAT-MABAL,41.04,6.84,42.68,179.86
1060,3.445593,104.656372,35000.0,VISAT-MABAL,41.04,7.82,43.66,179.86
1070,3.44643,104.672654,35000.0,VISAT-MABAL,41.04,8.79,44.63,179.86
1080,3.447267,104.688937,35000.0,VISAT-MABAL,41.04,9.77,45.61,179.86
1090,3.448103,104.70522,35000.0,VISAT-MABAL,41.04,10.75,46.59,179.86
1100,3.448939,104.721503,35000.0,VISAT-MABAL,41.04,11.73,47.56,179.86
1110,3.449775,104.737786,35000.0,VISAT-MABAL,41.04,12.7,48.54,179.86
1120,3.45061,104.754068,35000.0,VISAT-MABAL,41.04,13.68,49.52,179.86
1130,3.451445,104.770351,35000.0,VISAT-MABAL,41.04,14.66,50.5,179.86
1140,3.45228,104.786634,35000.0,VISAT-MABAL,41.04,15.63,51.47,179.86
1150,3.453115,104.802917,35000.0,VISAT-MABAL,41.04,16.61,52.45,179.86
