Sector,Airway,Departure Airport,Initial Latitude,Initial Longitude,Initial Heading,Air Route,Destination Airport,Waypoint 1,Waypoint 1 Latitude,Waypoint 1 Longitude,Waypoint 2,Waypoint 2 Latitude,Waypoint 2 Longitude,Waypoint 3,Waypoint 3 Latitude,Waypoint 3 Longitude,Waypoint 4,Waypoint 4 Latitude,Waypoint 4 Longitude,Waypoint 5,Waypoint 5 Latitude,Waypoint 5 Longitude,Waypoint 6,Waypoint 6 Latitude,Waypoint 6 Longitude,Waypoint 7,Waypoint 7 Latitude,Waypoint 7 Longitude,Waypoint 8,Waypoint 8 Latitude,Waypoint 8 Longitude,Waypoint 9,Waypoint 9 Latitude,Waypoint 9 Longitude,Waypoint 10,Waypoint 10 Latitude,Waypoint 10 Longitude,Waypoint 11,Waypoint 11 Latitude,Waypoint 11 Longitude
6,M758,WMKK,032432.00N,1035544.00E,87.11,"['IDSEL', 'URIGO', 'VISAT', 'MABAL', 'ELGOR', 'OPULA', 'LUSMO']",WBKK,IDSEL,032432.00N,1035544.00E,URIGO,032505.00N,1040647.00E,VISAT,032620.00N,1043134.00E,MABAL,032826.00N,1051236.00E,ELGOR,033014.00N,1054818.00E,OPULA,033155.00N,1062118.00E,LUSMO,033341.00N,1065534.00E,,,,,,,,,,,,
6,M758R,WBKK,033341.00N,1065534.00E,270,"['LUSMO', 'OPULA', 'ELGOR', 'MABAL', 'VISAT', 'URIGO', 'IDSEL', 'PADLI', 'SAROX']",WMKK,LUSMO,033341.00N,1065534.00E,OPULA,033155.00N,1062118.00E,ELGOR,033014.00N,1054818.00E,MABAL,032826.00N,1051236.00E,VISAT,032620.00N,1043134.00E,URIGO,032505.00N,1040647.00E,IDSEL,032432.00N,1035544.00E,PADLI,030918.00N,1033133.00E,SAROX,024802.00N,1024019.00E,,,,,,
6,M761,WBGG,020940.00N,1075044.00E,285.33,"['SABIP', 'BOBOB', 'OMBAP', 'VERIN', 'BUNTO', 'LIPRO', 'KILOT', 'OTLON', 'KETOD', 'OBDAB', 'VPK']",WMKK,SABIP,020940.00N,1075044.00E,BOBOB,022206.00N,1070558.00E,OMBAP,023116.00N,1063242.00E,VERIN,020011.00N,1072624.00E,BUNTO,025342.00N,1051128.00E,LIPRO,035848.00N,1051547.00E,KILOT,030217.00N,1044023.00E,OTLON,030752.00N,1042006.00E,KETOD,031044.00N,1040943.00E,OBDAB,032259.00N,1032524.00E,VPK,032259.00N,1032524.00E
6,M761R,WMKK,032259.00N,1032524.00E,105.36,"['VPK', 'OBDAB', 'KETOD', 'OTLON', 'KILOT', 'LIPRO', 'BUNTO', 'VERIN', 'OMBAP', 'BOBOB', 'SABIP']",WBGG,VPK,032259.00N,1032524.00E,OBDAB,032259.00N,1032524.00E,KETOD,031044.00N,1040943.00E,OTLON,030752.00N,1042006.00E,KILOT,030217.00N,1044023.00E,LIPRO,035848.00N,1051547.00E,BUNTO,025342.00N,1051128.00E,VERIN,020011.00N,1072624.00E,OMBAP,023116.00N,1063242.00E,BOBOB,022206.00N,1070558.00E,SABIP,020940.00N,1075044.00E
6,M771,WSSS,022318.00N,1035218.00E,32.05,"['VMR', 'RAXIM', 'OTLON', 'VISAT', 'DUBSA', 'DAMOG', 'DOLOX']",ZSFZ,VMR,022318.00N,1035218.00E,RAXIM,030318.00N,1041713.00E,OTLON,030752.00N,1042006.00E,VISAT,032620.00N,1043134.00E,DUBSA,034901.00N,1044540.00E,DAMOG,041225.00N,1050014.00E,DOLOX,044841.00N,1052247.00E,,,,,,,,,,,,
6,M771R,ZSFZ,044841.00N,1052247.00E,212.05,"['DOLOX', 'DAMOG', 'DUBSA', 'VISAT', 'OTLON', 'RAXIM', 'VMR']",WSSS,DOLOX,044841.00N,1052247.00E,DAMOG,041225.00N,1050014.00E,DUBSA,034901.00N,1044540.00E,VISAT,032620.00N,1043134.00E,OTLON,030752.00N,1042006.00E,RAXIM,030318.00N,1041713.00E,VMR,022318.00N,1035218.00E,,,,,,,,,,,,
6,L635,RCTP,041717.00N,1061247.00E,250,"['MABLI', 'SUSAR', 'DUBSA', 'UGPEK', 'DOVOL', 'PADLI']",WMKK,MABLI,041717.00N,1061247.00E,SUSAR,035848.00N,1051547.00E,DUBSA,034901.00N,1044540.00E,UGPEK,033647.00N,1040752.00E,DOVOL,033047.00N,1034923.00E,PADLI,030918.00N,1033133.00E,,,,,,,,,,,,,,,
6,L635R,WMKK,030918.00N,1033133.00E,34.6,"['PADLI', 'DOVOL', 'UGPEK', 'DUBSA', 'SUSAR', 'MABLI']",RCTP,PADLI,030918.00N,1033133.00E,DOVOL,033047.00N,1034923.00E,UGPEK,033647.00N,1040752.00E,DUBSA,034901.00N,1044540.00E,SUSAR,035848.00N,1051547.00E,MABLI,041717.00N,1061247.00E,,,,,,,,,,,,,,,
6,N892,RCTP,041717.00N,1061247.00E,230,"['MABLI', 'MUMSO', 'MABAL', 'KILOT', 'KIBOL', 'PEKLA', 'VMR']",WSSS,MABLI,041717.00N,1061247.00E,MUMSO,034420.00N,1053213.00E,MABAL,032826.00N,1051236.00E,KILOT,030217.00N,1044023.00E,KIBOL,015840.00N,1083000.00E,PEKLA,032259.00N,1032524.00E,VMR,022318.00N,1035218.00E,,,,,,,,,,,,
6,N884,WSSS,022318.00N,1035218.00E,65,"['VMR', 'LENDA', 'LIPRO', 'LEBIN', 'ONAPO', 'LUSMO']",WBKK,VMR,022318.00N,1035218.00E,LENDA,070000.00N,1064834.00E,LIPRO,035848.00N,1051547.00E,LEBIN,011948.00N,1042418.00E,ONAPO,070520.00N,1080911.00E,LUSMO,033341.00N,1065534.00E,,,,,,,,,,,,,,,
6,N875,VDPP,041225.00N,1050014.00E,132.05,"['DAMOG', 'SUSAR', 'MUMSO', 'ELGOR', 'LEBIN', 'OMLIV', 'BOBOB']",WBGG,DAMOG,041225.00N,1050014.00E,SUSAR,035848.00N,1051547.00E,MUMSO,034420.00N,1053213.00E,ELGOR,033014.00N,1054818.00E,LEBIN,011948.00N,1042418.00E,OMLIV,014256.00N,1064147.00E,BOBOB,022206.00N,1070558.00E,,,,,,,,,,,,
