Sector,Airway,Departure Airport,Initial Heading,Air Route,Destination Airport,Waypoint 1,Waypoint 2,Waypoint 3,Waypoint 4,Waypoint 5,Waypoint 6,Waypoint 7,Waypoint 8,Waypoint 9,Waypoint 10,Waypoint 11,Initial_Lat_Dec,Initial_Lon_Dec,Initial Latitude (Decimal),Initial Longitude (Decimal),Waypoint 1 Latitude (Decimal),Waypoint 1 Longitude (Decimal),Waypoint 2 Latitude (Decimal),Waypoint 2 Longitude (Decimal),Waypoint 3 Latitude (Decimal),Waypoint 3 Longitude (Decimal),Waypoint 4 Latitude (Decimal),Waypoint 4 Longitude (Decimal),Waypoint 5 Latitude (Decimal),Waypoint 5 Longitude (Decimal),Waypoint 6 Latitude (Decimal),Waypoint 6 Longitude (Decimal),Waypoint 7 Latitude (Decimal),Waypoint 7 Longitude (Decimal),Waypoint 8 Latitude (Decimal),Waypoint 8 Longitude (Decimal),Waypoint 9 Latitude (Decimal),Waypoint 9 Longitude (Decimal),Waypoint 10 Latitude (Decimal),Waypoint 10 Longitude (Decimal),Waypoint 11 Latitude (Decimal),Waypoint 11 Longitude (Decimal)
6,M758,WMKK,87.11,"['IDSEL', 'URIGO', 'VISAT', 'MABAL', 'ELGOR', 'OPULA', 'LUSMO']",WBKK,IDSEL,URIGO,VISAT,MABAL,ELGOR,OPULA,LUSMO,,,,,3.408888888888889,103.92888888888889,3.408888888888889,103.92888888888889,3.408888888888889,103.92888888888889,3.4180555555555556,104.11305555555555,3.438888888888889,104.5261111111111,3.473888888888889,105.21000000000001,3.503888888888889,105.80499999999999,3.5319444444444446,106.35499999999999,3.5613888888888887,106.92611111111111,,,,,,,,
6,M758R,WBKK,270.0,"['LUSMO', 'OPULA', 'ELGOR', 'MABAL', 'VISAT', 'URIGO', 'IDSEL', 'PADLI', 'SAROX']",WMKK,LUSMO,OPULA,ELGOR,MABAL,VISAT,URIGO,IDSEL,PADLI,SAROX,,,3.5613888888888887,106.92611111111111,3.5613888888888887,106.92611111111111,3.5613888888888887,106.92611111111111,3.5319444444444446,106.35499999999999,3.503888888888889,105.80499999999999,3.473888888888889,105.21000000000001,3.438888888888889,104.5261111111111,3.4180555555555556,104.11305555555555,3.408888888888889,103.92888888888889,3.155,103.52583333333334,2.8005555555555555,102.67194444444445,,,,
6,M761,WBGG,285.33,"['SABIP', 'BOBOB', 'OMBAP', 'VERIN', 'BUNTO', 'LIPRO', 'KILOT', 'OTLON', 'KETOD', 'OBDAB', 'VPK']",WMKK,SABIP,BOBOB,OMBAP,VERIN,BUNTO,LIPRO,KILOT,OTLON,KETOD,OBDAB,VPK,2.161111111111111,107.84555555555555,2.161111111111111,107.84555555555555,2.161111111111111,107.84555555555555,2.368333333333333,107.09944444444444,2.521111111111111,106.545,2.558,106.4,2.895,105.19111111111111,2.89,105.19,3.0380555555555553,104.67305555555556,3.131111111111111,104.335,3.178888888888889,104.16194444444444,3.3830555555555555,103.42333333333333,3.3830555555555555,103.42333333333333
6,M761R,WMKK,105.36,"['VPK', 'OBDAB', 'KETOD', 'OTLON', 'KILOT', 'LIPRO', 'BUNTO', 'VERIN', 'OMBAP', 'BOBOB', 'SABIP']",WBGG,VPK,OBDAB,KETOD,OTLON,KILOT,LIPRO,BUNTO,VERIN,OMBAP,BOBOB,SABIP,3.3830555555555555,103.42333333333333,3.3830555555555555,103.42333333333333,3.3830555555555555,103.42333333333333,3.3830555555555555,103.42333333333333,3.178888888888889,104.16194444444444,3.131111111111111,104.335,3.0380555555555553,104.67305555555556,2.89,105.19,2.895,105.19111111111111,2.558,106.4,2.521111111111111,106.545,2.368333333333333,107.09944444444444,2.161111111111111,107.84555555555555
6,M771,WSSS,32.05,"['VMR', 'RAXIM', 'OTLON', 'VISAT', 'DUBSA', 'DAMOG', 'DOLOX']",ZSFZ,VMR,RAXIM,OTLON,VISAT,DUBSA,DAMOG,DOLOX,,,,,2.388333333333333,103.87166666666666,2.388333333333333,103.87166666666666,2.388333333333333,103.87166666666666,3.0549999999999997,104.28694444444444,3.131111111111111,104.335,3.438888888888889,104.5261111111111,3.8169444444444443,104.7611111111111,4.206944444444445,105.0038888888889,4.811388888888889,105.37972222222221,,,,,,,,
6,M771R,ZSFZ,212.05,"['DOLOX', 'DAMOG', 'DUBSA', 'VISAT', 'OTLON', 'RAXIM', 'VMR']",WSSS,DOLOX,DAMOG,DUBSA,VISAT,OTLON,RAXIM,VMR,,,,,4.811388888888889,105.37972222222221,4.811388888888889,105.37972222222221,4.811388888888889,105.37972222222221,4.206944444444445,105.0038888888889,3.8169444444444443,104.7611111111111,3.438888888888889,104.5261111111111,3.131111111111111,104.335,3.0549999999999997,104.28694444444444,2.388333333333333,103.87166666666666,,,,,,,,
6,L635,RCTP,250.0,"['MABLI', 'SUSAR', 'DUBSA', 'UGPEK', 'DOVOL', 'PADLI']",WMKK,MABLI,SUSAR,DUBSA,UGPEK,DOVOL,PADLI,,,,,,4.288055555555555,106.21305555555556,4.288055555555555,106.21305555555556,4.288055555555555,106.21305555555556,3.98,105.26305555555555,3.8169444444444443,104.7611111111111,3.6130555555555555,104.13111111111111,3.5130555555555554,103.82305555555556,3.155,103.52583333333334,,,,,,,,,,
6,L635R,WMKK,34.6,"['PADLI', 'DOVOL', 'UGPEK', 'DUBSA', 'SUSAR', 'MABLI']",RCTP,PADLI,DOVOL,UGPEK,DUBSA,SUSAR,MABLI,,,,,,3.155,103.52583333333334,3.155,103.52583333333334,3.155,103.52583333333334,3.5130555555555554,103.82305555555556,3.6130555555555555,104.13111111111111,3.8169444444444443,104.7611111111111,3.98,105.26305555555555,4.288055555555555,106.21305555555556,,,,,,,,,,
6,N892,RCTP,230.0,"['MABLI', 'MUMSO', 'MABAL', 'KILOT', 'KIBOL', 'PEKLA', 'VMR']",WSSS,MABLI,MUMSO,MABAL,KILOT,KIBOL,PEKLA,VMR,,,,,4.288055555555555,106.21305555555556,4.288055555555555,106.21305555555556,4.288055555555555,106.21305555555556,3.738888888888889,105.53694444444444,3.473888888888889,105.21000000000001,3.0380555555555553,104.67305555555556,2.87,104.468,2.57,104.105,2.388333333333333,103.87166666666666,,,,,,,,
6,N884,WSSS,65.0,"['VMR', 'LENDA', 'LIPRO', 'LEBIN', 'ONAPO', 'LUSMO']",WBKK,VMR,LENDA,LIPRO,LEBIN,ONAPO,LUSMO,,,,,,2.388333333333333,103.87166666666666,2.388333333333333,103.87166666666666,2.388333333333333,103.87166666666666,2.69,104.65,2.89,105.19,3.24,106.1,3.35,106.388,3.5613888888888887,106.92611111111111,,,,,,,,,,
